Country	Mountain	Latitude	Longitude	Elevation
India	Nima Dhora Mountain	28.026463	74.519715	1053 m
India	Gir Bhakar Mountain	26.731161	73.172531	1262 m
India	Bundi Mountain	25.414343	75.584104	880 m
India	Undalia Mountain	25.508172	75.673436	1588 m
India	Naulaka Hill Mountain	25.537418	75.713	1568 m
India	Kapuri Pahari	28.011556	76.10875	1022 m
India	Lal Pahadi	28.008933	76.427953	978 m
India	Jaar Pahar Peak	25.458513	78.560158	817 m
India	Mount Abu	24.598326	73.67969	1722 m
India	Mukandra Mountain	24.83067	75.91722	1086 m
India	Pagaria Mountain	24.132535	75.832429	1298 m
India	Sanchi Mountain	23.478851	77.739775	434 m
India	Luhagi Mountain	23.526836	77.814398	1472 m
India	Mala Dongri Mountain	23.09955	77.349813	1848 m
India	Dhondi Dant Mountain	23.033148	77.350875	1890 m
India	Sajum Mountain	33.329537	79.007977	5695 m
India	Thalay Sagar Mountain	30.858395	78.997476	6530 m
India	Shivling Mountain	30.876644	79.065602	6033 m
India	Kedarnath Mountain	30.808878	79.07608	6675 m
India	Chaukhamba Mountain	30.731213	79.283044	6579 m
India	Nikantha Mountain	30.729665	79.394465	6596 m
India	Abi Gamin	30.933333	79.6	7355 m
India	Nanga Prabhat Mountain	30.758974	79.460937	4524 m
India	Hathi Prabhat Mountain	30.680599	79.705187	5905 m
India	Rataban Mountain	30.744358	79.75728	4501 m
India	Trishul Mountain	30.313113	79.783297	7000 m
India	Dunagiri Mountain	30.513301	79.868489	7066 m
India	Changabang Mountain	30.496236	79.923934	6864 m
India	Hardeol	30.560081	80.00707	7161 m
India	Nanda Gond	30.530081	80.119785	6315 m
India	Nanda Pal	30.52	80.14	6306 m
India	Nanda Devi	30.375942	79.970848	7817 m
India	Changuch Mountain	30.29	80.04	6861 m
India	Nanda Kot Mountain	30.280785	80.067157	6861 m
India	Gwanagarh Mountain	30.212984	79.0815684	2806 m
India	Suj Tilla East Peak	30.32981	80.380142	6394 m
India	Om Mountain	30.342958	80.409493	5080 m
India	Rajrambha Mountain	30.246426	80.376006	6510 m
India	Nagalaphu Peak	30.24	80.43	6410 m
India	Panchchuli Mountain	30.212951	80.427102	6334 m
India	Abbout Mountain	29.427812	80.083505	2018 m
India	Bagraj Mountain	25.313335	79.648905	689 m
India	Vindhya Mountain	24.602317	82.008912	1048 m
India	Deogarh Mountain	23.532085	82.26754	833 m
India	Bahmangarh Mountain	22.864885	81.773243	3415 m
India	Ramgarh Mountain	22.946137	82.867563	2140 m
India	Mainpat Mountain	22.798156	83.26539	3545 m
India	Domo Mountain	27.882857	88.150436	6793 m
India	Pyramid Peak	27.816448	88.183075	6248 m
India	Tent Peak	27.783232	88.201083	6535 m
India	Kanchenjunga Mountain	27.703449	88.153473	8000 m
India	Talung Mountain	27.649121	88.133384	6525 m
India	Kabru Mountain	27.614859	88.11893	7190 m
India	Kokthang Mountain	27.566994	88.092436	5801 m
India	Arralang Mountain	27.464479	88.233267	4524 m
India	Siniolchu Mountain	27.712245	88.323568	6888 m
India	Narsingh Mountain	27.515149	88.283494	5127 m
India	Namprik Mountain	27.50079	88.366052	4223 m
India	Jaure Danra Mountain	27.483745	88.350203	3629 m
India	Pemikhangchhen Mountain	27.59584	88.566609	3983 m
India	Labi Mountain	27.297806	88.051451	3018 m
India	Dhond Mountain	27.33286	88.067108	3682 m
India	Singlila Mountain	27.232145	88.033173	3399 m
India	Tal Danda Mountain	27.198949	88.099007	3034 m
India	Ghoramara Mountain	26.86884	88.415985	2040 m
India	Chameringu Mountain	27.64879	88.648398	4065 m
India	Kephyaklo Mountain	27.248404	88.799105	2953 m
India	Pangolakha Mountain	27.19927	88.783578	2746 m
India	Brahamyoni Mountain	24.77342	84.984844	541 m
India	Rajgir Mountain	25.007121	85.460733	847 m
India	Dubaur Mountain	24.597912	85.584698	1920 m
India	Guhiya Mountain	25.143097	85.82358	184 m
India	Parasnath Mountain	23.964783	86.133765	1351 m
India	Trikut Mountain	24.486065	86.833189	726 m
India	Lugu Pahar Mountain	23.787876	85.705499	866 m
India	Kimsi Buru Mountain	22.5302952	85.6523082	1120 m
India	Chitung Buru Mountain	22.5006171	85.6528356	1080 m
India	Silpor Mountain	23.327872	86.016788	945 m
India	Maithon Mountain	23.7792124	86.8183525	300 m
India	Panchet Mountain	23.628641	86.764707	1543 m
India	Joy Chandi Mountain	23.522064	86.667135	773 m
India	Susunia Mountain	23.395661	86.984719	1442 m
India	Rajmahal Mountain	24.666004	87.416066	1025 m
India	Singarsi Mountain	24.631879	87.467365	1505 m
India	Gambhirgad Mountain	20.065418	73.051811	1065 m
India	Mahalkshmi Mountain	19.932326	72.916166	1069 m
India	Kaladurg Mountain	19.691095	72.818056	1317 m
India	Takmak Mountain	19.564864	72.942034	1645 m
India	Kohoj Mountain	19.67494	72.986974	1592 m
India	Baronada Mountain	19.44939	72.850513	557 m
India	Tungar Mountain	19.43246	72.917506	1632 m
